--------- beginning of main
11-09 15:02:54.895 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1987, bufferIndex = 0.
11-09 15:02:54.895 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 15, generation 25881602.
11-09 15:02:54.896 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 19, generation 25881602.
11-09 15:02:54.915 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1988, bufferIndex = 0.
11-09 15:02:54.916 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 16, generation 25881602.
11-09 15:02:54.923 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1989, bufferIndex = 0.
11-09 15:02:55.236 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1990, bufferIndex = 0.
11-09 15:02:55.237 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 2, generation 25881602.
11-09 15:02:55.238 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1991, bufferIndex = 0.
11-09 15:02:55.239 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 0, generation 25881602.
11-09 15:02:55.240 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 3, generation 25881602.
11-09 15:02:55.240 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 18, generation 25881602.
11-09 15:02:55.240 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1992, bufferIndex = 0.
11-09 15:02:55.240 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1993, bufferIndex = 0.
11-09 15:02:55.248 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1994, bufferIndex = 0.
11-09 15:02:55.249 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 12, generation 25881602.
11-09 15:02:55.251 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1995, bufferIndex = 0.
